TI,AU,PY
DEVELOPMENT AFTER DISPLACEMENT: USING OSM DATA TO MEASURE SDG INDICATORS AT INFORMAL SETTLEMENTS,"WRATHALL, JAMON VAN DEN HOEK, HANNAH FRIEDRICH, ANNA BALLASIOTES, DAVID",2019
ANALYSIS OF OPENSTREETMAP DATA QUALITY AT DIFFERENT STAGES OF A PARTICIPATORY MAPPING PROCESS: EVIDENCE FROM INFORMAL URBAN SETTINGS,"YEBOAH, GODWIN; TROILO, RAFAEL; PITIDIS, VANGELIS; ALBUQUERQUE, JOÃO PORTO DE",2019
ASSESSING THE COMPLETENESS OF URBAN GREEN SPACES IN OPENSTREETMAP,"LUDWIG, CHRISTINA; HECHT, ROBERT; LAUTENBACH, SVEN",2019
WINDS OF CHANGE IN OPENSTREETMAP,"MUSTARD, ALLAN",2020
DRONES FOR COMMUNITY MAPPING,"LUNAS, LEIGH",2020
4 COUNTY OSM DIGITIZATION LIBERIA – LESSON LEARNED,"SELASA, TRI",2020
OSM ROUTING EVALUATION,"AKHADI, YANTISA",2020
HEALTH FACILITIES IMPORT,"NAYANI, SOWMYA",2020
RANKS FOR RENDERING,"REICHERT, MICHAEL",2020
ECONOMY_HUMAN_AND_POLICY_IMPACT_ON_MAPPING_IN_PUBLIC_SECTOR,"JOSEPH, ASISH ABRAHAM",2020
THE MAP IN 360,"TURKSEVER, SAID",2020
THE STATE OF OPENSTREETMAP IN AFRICA,"KATEREGGA, GEOFFREY",2020
BUILDINGS ARE THE NEW STREETS,"SCHORLEMMER, DANIJEL; DELATTRE, FELIX",2020
OVERWIEW ON OPENSTREETMAP TOGO COMMUNITY,"AKOUETE, ATA FRANCK",2020
MAPCAMPAIGNER REDESIGN: THE DATA QUALITY MONITOR FOR OSM,"MARTINEZ, JORGE",2020
CREATING AN OPEN DATA ECOSYSTEM FOR REVIEWS OF PLACES AND MORE,"CARABAS, DINA",2020
THERE MIGHT HAVE BEEN A MISUNDERSTANDING...,"RAMM, FREDERIK",2020
OSM DATA ASSESSMENT IN THE AREA OF ATHENS - GREECE,"ARAPOSTATHIS, STATHIS G.",2020
AN INCOMPLETE HISTORY OF COMPANIES AND PROFESSIONALS IN OPENSTREETMAP,"MARON, MIKEL",2020
TURKISH LAW ON NATIONAL GEOSPATIAL DATA AND ITS IMPLICATIONS REGARDING OSM AND THE COMMUNITY,"ÜNEN, CAN; YILMAZ, ORKUT MURAT",2020
VISUALIZING GENDER OF STREET NAMES IN BRAZIL,"LOUREIRO, BERNARDO",2020
PARTICIPATORY BUDGETING & MAPPING WITH CITIZENS AND GOVERNMENT,"HAGEN, ERICA; FONDO, LUCY",2020
SEND ME A POSTCARD,"ZVEREV, ILYA",2020
SUSTAINABILITY AND OSM FOR DEVELOPMENT,"HAGEN, ERICA",2020
BUILDING STRONGER COMMUNITIES TOGETHER - THE LOCAL CHAPTERS & COMMUNITY WORKING GROUP,"CAWLEY, MAGGIE",2020
MAPIMPACT: MAPPING AND SOCIAL RESEARCHS BY STUDENTS IN CUSCO PERÚ,"CC., REGINA CAMPOS",2020
MEET AN OPENSTREETMAPPER,"MARLER, GREGORY",2020
MAP-LESS MAP EDITORS,"ZVEREV, ILYA",2021
JOURNEY TO IMPROVING THE NAVIGATION EXPERIENCE FOR GRAB DRIVER PARTNERS USING OSM,"FOFLIA, JINAL; ALLA, APARNA",2021
FROM GLOBAL TO LOCAL OSM MAPPING_CARTONG’S OVERALL OSM BASED STRATEGY TO SUPPORT HUMANITARIAN RESPONSE IN REFUGEE CAMP,"NOBLECOURT, MARTIN; VIOU, MANON; RIBIERE, OLIVIER",2021
MAPATANDA: MAPPING FOR AND WITH THE AGEING POPULATION,"LIBUNAO, KRIS",2021
3D RENDERING WITH OSM2WORLD,"KNERR, TOBIAS",2021
OSM DATA_PRIVACY RISKS AND GDPR COMPLIANCE,"RIEMANN, ROBERT",2021
BOUNDARIES_PLACES AND THE FUTURE OF TAGGING,"HOFFMANN, SARAH",2021
INTRODUCTION AND REVIEW OF MAPCOMPLETE,"VENNET, PIETER VANDER",2021
MAKINA MAPS,"RODRIGO, FRÉDÉRIC",2021
LINTING THE MAP TOGETHER_COLLABORATIONS OF MAPBOX DATA RAVE AND OPENSTREETMAP COMMUNITIES,"BOITSIK, VLADA",2021
IMPROVING OSM DATA IN COASTAL COMMUNITIES,"BRANDEIS, MONICA",2021
HOW TO MAP A CITY'S PUBLIC TRANSPORT DURING A PANDEMIC,"HANSER, CHRISTOPH",2021
WITH GREAT POWER COMES GREAT RESPONSIBILITY,"RAMM, FREDERIK",2021
COLLECTION AND USE OF DATA ABOUT ENTRANCES OF BUILDINGS,"HASTRUP, TUUKKA; LINDQVIST, JOHAN",2021
MAPPING UNMAPPED TOWNS IN TURKEY BY BUILDING AND ENLARGING OPENSTREETMAP TURKEY COMMUNITY,"TURKSEVER, SAID; ER, OĞUZHAN",2021
HOW STREETCOMPLETE HANDLES EDITS,"ZWICK, TOBIAS",2021
NEWS FROM OSM2PGSQL,"TOPF, JOCHEN",2021
MAPPING HERITAGE IN IRELAND - A JOURNEY,"DISTEL, ANNE-KAROLINE",2021
MAPLIBRE - COMMUNITY DRIVEN MAPBOX GL FORK,"PRIDAL, PETR",2021
OPENSTREETMAP AND THE NEGLECTED PEDESTRIAN,"NEERHUT, EDOARDO",2021
OPENSTREETMAP STANDARD LAYER_WHO USES IT,"NORMAN, PAUL",2021
COMMUNITY GROWTH_WHAT WE LEARNED ABOUT IMPROVING THE MEMBERSHIP AND DIVERSITY OF OSM KENYA THROUGH THE COMMUNITY IMPACT MICROGRANTS,"MUGEHA, LAURA",2021
NLMAPS WEB: A NATURAL LANGUAGE INTERFACE TO OPENSTREETMAP,"WILL, SIMON",2021
WHAT HAS MACHINE LEARNING EVER DONE FOR US,"MOONEY, PETER",2021
TOWARDS A FRAMEWORK FOR MEASURING LOCAL DATA CONTRIBUTION IN OPENSTREETMAP,"OWUSU, MAXWELL",2021
COMMUNITY INTERACTIONS IN OSM EDITING,"ANDERSON, JENNINGS; SARKAR, DIPTO",2021
TOWARDS UNDERSTANDING THE TEMPORAL ACCURACY OF OPENSTREETMAP: A QUANTITATIVE EXPERIMENT,"JUHÁSZ, LEVENTE",2021
DEALING WITH QUANTITY VS QUALITY,"NYAMADOR, ENOCK SETH",2021
A PROPOSAL FOR A QGIS PLUGIN FOR SPATIO-TEMPORAL ANALYSIS OF OSM DATA QUALITY: THE CASE STUDY FOR THE CITY OF SALVADOR_BRAZIL,"ELIAS, ELIAS NASR NAIM",2021
INTRODUCING OPENSTREETMAP USER EMBEDDINGS: PROMISING STEPS TOWARD AUTOMATED VANDALISM AND COMMUNITY DETECTION,"ANDERSON, JENNINGS; LI, YINXIAO",2021
A NEW MAP RENDERER FOR OSM_RASTERS_VECTORS_LANGUAGE AND INTERNATIONALIZATION,"LIU, BRANDON",2021
AN AUTOMATED APPROACH TO IDENTIFYING CORPORATE EDITING ACTIVITY IN OPENSTREETMAP,"VESELOVSKY, VENIAMIN",2021
OVERPASS API SINCE 10 YEARS,"OLBRICHT, DR. ROLAND",2021
INVOLVEMENT OF OPENSTREETMAP IN EUROPEAN H2020 PROJECTS,"GRAUX, DAMIEN; MICHEL, THIBAUD",2021
WHY OSM IS NOT KNOWN MORE WIDELY - ABOUT CONSEQUENCES OF NOT ENFORCING ATTRIBUTION REQUIREMENTS,"KONIECZNY, MATEUSZ",2021
BUILDING A GLOBAL OUTDOOR MAP,"KOMAREK, JIRI",2021
A/B STREET_USING OSM FOR TRANSPORTATION ADVOCACY,"CARLINO, DUSTIN",2021
STATE OF INDEPENDENCE,"FAIRHURST, RICHARD",2022
10 YEARS OF MAPROULETTE,"EXEL, MARTIJN VAN",2022
ENTRY-LEVEL MOBILE MAPPING,"TONGA, KRISTEN",2022
OSM CARTO AS VECTOR TILES,"KOMAREK, JIRI; SZCZERBAN, WLADIMIR",2022
ADMIN BOUNDARY CONFLATION TOOL,"KOKANOVIC, BRANKO",2022
USABILITY TESTING WITH THREE PEOPLE - HOW TO DISCOVER WHY MAPPERS ARE CONFUSED BY YOUR SOFTWARE,"KONIECZNY, MATEUSZ",2022
INNOVATING ON DERIVATIVE OPENSTREETMAP DATASETS,"LIU, BRANDON",2022
NONE: A STORY OF DATA THAT ISN'T THERE,"GALA; CIOCOIU, SIMONA",2022
OPENSTREETMAP DATA FOR CLIMATE CHANGE RESPONSE INITIATIVES,"KPOGBE, LUC",2022
EVOLVING THE OSM DATA MODEL,"TOPF, JOCHEN",2022
INTEGRATING OPENSTREETMAP IN THE LOCAL GOVERNANCE OF NEPAL,"SHRESTHA, AISHWORYA; GHIMIRE, SUSHMA",2022
WHAT YOU MAP IS NOT ALWAYS WHAT YOU GET,"HOFFMANN, SARAH; FAIRHURST, RICHARD",2022
MAPPING A SMALL TOWN,"BEDDOW, CHRISTOPHER",2022
UX FOR HYPERLOCAL MAP IN SOUTHEAST ASIA,"WEE, LOW KO; IYER, SRIRAM",2022
INFERRING DEFAULT SPEED LIMITS,"ZWICK, TOBIAS",2022
MAPLIBRE-RS: CROSS-PLATFORM MAP RENDERING USING RUST,"AMMANN, MAX",2022
OPENSTREETMAP IN THE CLOUD,"ANWAR, SAJJAD",2022
THE MAPOSMATIC APIS - GENERATE PRINTABLE MAPS FROM YOUR OWN APPLICATION,"HOLZGRAEFE, HARTMUT",2022
BUILDING AN OPENSTREETMAP COMMUNITY PLAYBOOK,"OMOJA, SHARON; KATEREGGA, GEOFFREY",2022
PEDESTRIAN AND BIKE MAPPING IN NEW YORK CITY,"KADOURI, ARIEL",2022
LINKING OPENSTREETMAP AND WIKIDATA: CASE STUDY OF TAIWAN'S VILLAGES AND RIVERS DATASET,"CHEN, DENNIS RAYLIN",2022
MAPBUILDER - THE SIMPLEST OSM EDITORIAL TOOL,"BRACKO, NEMANJA",2022
OPENSTREETMAP IN SCHOOLS: THE CASE STUDY OF BARI,"TRAVERSA, FERDINANDO; COLACICCO, ROSA",2022
10 YEARS ID EDITOR – THE ROAD AHEAD,"RAIFER, MARTIN",2022
EDUCATIONAL INITIATIVES AND PLATFORMS ON OPENSTREETMAP: MAKING OPEN DATA MORE ACCESSIBLE,"MONTANI, MICHAEL",2022
EVERY DOOR AND THE FUTURE OF POI IN OPENSTREETMAP,"ZVEREV, ILYA",2022
HOW TO KILL OSM? ABOVE ALL_CHANGE NOTHING,"LAINEZ, FLORIAN",2022
DIGITAL CHAMPIONS FIGHTING GENDER BASED VIOLENCE IN RURAL TANZANIA WITH MAPS,"CHAPMAN, JANET",2022
OSMF BOARD AMA,"MCCANN, AMANDA",2022
WOMEN LEADERSHIP IN MAPPING RIVERSIDE COMMUNITIES IN THE AMAZON FOREST USING OSM,"TEIXEIRA, ANA LUÍSA; VENTORINI, SILVIA ELENA; ARRUDA, NATALIA DA SILVEIRA",2022
A REVIEW OF MAPILLARY-GENERATED MAP DATA AND HOW ACCURACY COMPARES ACROSS DEVICES,"TURKSEVER, SAID",2022
STATE OF OSM IN QGIS,"TRIMAILLE, ETIENNE",2022
RUNNING OPENSTREETMAP.ORG - TODAY AND TOMORROW,"SLATER, GRANT",2022
SATELLITE IMAGERY FOR SOCIAL GOOD - OUR REFLECTIONS,"NASSOZI, SHAMILAH",2022
PUBLIC DOMAIN MAP: CROWDSOURCING THE FUTURE OF GOVERNMENT DATA,"BEUTLER, JESS; MCANDREW, JAMES",2022
LOCALIZATION AS AN INCLUSION AND PARTICIPATORY ENABLER RESEARCH,"VICARIO, ARNALIE",2022
INCREASING OPENSTREETMAP DATA ACCESSIBILITY WITH THE ANALYSIS-READY DAYLIGHT DISTRIBUTION OF OPENSTREETMAP: A DEMONSTRATION OF CLOUD-BASED ASSESSMENTS OF GLOBAL BUILDING COMPLETENESS 🎓,"ANDERSON, JENNINGS; OMIDIRE, TIMMERA WHALEY",2022
CROWDSOURCING AND VIRTUAL REALITY APPLICATIONS FOR PEACEKEEPING: STUDY CASES IN MOGADISHU AND TRIPOLI,"MONTANI, MICHAEL",2022
OSM SIDEWALKREATOR - A QGIS PLUGIN FOR AUTOMATED SIDEWALK DRAWING FOR OSM 🎓,"VESTENA, KAUÊ DE MORAES",2022
OSM2STREETS: STREET NETWORKS WITH DETAILED GEOMETRY,"CARLINO, DUSTIN",2022
COMPARATIVE INTEGRATION POTENTIAL ANALYSES OF OSM AND WIKIDATA – THE CASE STUDY OF RAILWAY STATIONS 🎓,"SCHOTT, MORITZ; DSOUZA, ALISHIBA",2022
EXPLORING HUMAN BIAS AND EFFECTS OF TRAINING IN OSM MAPPING: A BEHAVIORAL EXPERIMENT IN SINGAPORE,"ZHONG, SHIYUE",2022
ROUTING NOT ONLY FOR PRAMS,"OLBRICHT, ROLAND",2022
AUTOMATED DERIVATION OF PUBLIC URBAN GREEN SPACES VIA ACTIVITY-RELATED BARRIERS USING OPENSTREETMAP 🎓,"RIECHE, THEODOR",2022
OSM & TRAILS: NEW COLLABORATIONS FOR RESPONSIBLE RECREATION,"CAWLEY, MAGGIE",2022
NULL ISLAND - A NODE OF CONTENTION IN OPENSTREETMAP 🎓,"MOONEY, PETER; JUHÁSZ, LEVENTE",2022
OSM AND INDOOR DATA,"IGONET, CLEMENT",2022
YOUTHMAPPERS: A HYBRID MOVEMENT DESIGN FOR THE OPENSTREETMAP COMMUNITY OF COMMUNITIES 🎓,"SOLIS, PATRICIA",2022
LANDMARKS FOR ACCESSIBLE SPACE – PROMOTING GEO-LITERACY THROUGH GEOSPATIAL CITIZEN SCIENCE 🎓,"DALYOT, SAGI",2022
THE OPENSTREETMAP USE FOR MEDICAL HUMANITARIAN OPERATIONS BY MÉDECINS SANS FRONTIÈRES,"BAUEROVA, JANA",2022
WIKIMEDIA ITALIA - WHAT IS IT DOING FOR THE ITALIAN OSM COMMUNITY,"KUCI, ANISA",2022
MAPPING CRISES_COMMUNITIES AND CAPITALISM ON OPENSTREETMAP: SITUATING HUMANITARIAN MAPPING IN THE (OPEN SOURCE) MAPPING SUPPLY CHAIN 🎓,"STEELE, ANNE LEE",2022
